OID,NCOORDS,LENGTH,MID,NCO.,LEN,MEAN DIST,MIN DIST,MAX DIST
58,92,90.9998,2153,64,88.1884,312.542,289.357,334.102
58,92,90.9998,1219,43,53.9428,312.827,294.95,328.823
58,92,90.9998,1046,164,43.7968,313.446,309.864,316.514
58,92,90.9998,2087,62,2.44853,316.655,315.245,318.226
58,92,90.9998,1077,66,11.9382,316.934,285.917,347.215
58,92,90.9998,2122,62,23.9535,318.291,289.212,346.439
58,92,90.9998,1115,104,71.5555,318.739,314.196,323.974
58,92,90.9998,101,120,98.5303,319.175,315.948,327.652
58,92,90.9998,1118,111,96.8967,319.619,310.556,333.66
58,92,90.9998,2121,19,2.35769,320.258,311.307,329.127
58,92,90.9998,12,79,24.6428,320.303,317.805,322.541
58,92,90.9998,1076,67,4.84873,320.752,289.476,351.284
58,92,90.9998,1117,90,77.9738,321.151,315.898,331.015
58,92,90.9998,145,60,78.8317,321.591,299.313,341.875
58,92,90.9998,2151,82,34.0637,321.725,318.45,325.414
58,92,90.9998,85,81,24.4132,321.789,283.697,359.875
58,92,90.9998,99,109,90.325,323.412,315.548,336.275
58,92,90.9998,9,64,35.3297,324.042,315.043,338.456
58,92,90.9998,1078,89,35.1316,324.428,282.109,367.009
58,92,90.9998,1057,119,160.253,325.518,280.892,370.067
58,92,90.9998,1044,73,19.4548,325.631,323.013,328.317
58,92,90.9998,2084,68,39.2332,326.394,317.281,340.703
58,92,90.9998,105,1282,1112.82,326.524,296.898,357.051
58,92,90.9998,2097,109,147.938,327.068,282.655,371.412
58,92,90.9998,11,65,27.0622,327.924,322.703,337.686
58,92,90.9998,2116,66,63.3957,328.309,299.414,356.075
58,92,90.9998,2086,57,12.2251,328.34,325.914,333.449
58,92,90.9998,1079,80,34.8962,330.349,291.958,368.692
58,92,90.9998,2115,61,14.6873,330.491,302.656,357.101
58,92,90.9998,1039,117,152.972,330.828,300.536,362.475
58,92,90.9998,2123,30,2.40572,331.595,317.619,345.048
58,92,90.9998,2053,65,24.4577,332.9,331.606,334.482
58,92,90.9998,1038,132,173.809,333.58,300.332,367.884
58,92,90.9998,1045,70,15.6727,333.906,332.314,335.632
58,92,90.9998,19,95,128.644,334.235,289.947,378.456
58,92,90.9998,1075,61,18.2134,337.234,309.183,364.115
